[ 4623674ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error during WebSocket handshake: net::ERR_CONNECTION_RESET @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4626989ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4630318ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4633640ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4636967ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4644308ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4651646ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4658992ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4666355ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4673717ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4681124ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4688588ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=7sDnoozYN9B4jvVOPdqs4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
